Transaction_ID,Date,Country,Product_Category,Unit_Price,Quantity_Ordered,Discount_Percent,Marketing_Spend,Customer_Rating,Store_Size_SqFt,Is_Holiday_Season,Sales_Amount
TXN-100000,2024-01-01 00:00:00,UK,Home & Kitchen,64.45,2,0.04,464.73,4.7,2500,0,362.62
TXN-100001,2024-01-01 01:00:00,Australia,Home & Kitchen,103.01,9,0.1,79.19,4.1,25000,1,1840.02
TXN-100002,2024-01-01 02:00:00,France,Books,169.18,10,0.18,595.3,2.6,25000,0,2266.88
TXN-100003,2024-01-01 03:00:00,Germany,Health & Beauty,299.81,9,0.26,187.71,4.5,15000,1,2902.56
TXN-100004,2024-01-01 04:00:00,USA,Home & Kitchen,468.86,11,0.08,113.36,4.8,25000,0,5572.16
TXN-100005,2024-01-01 05:00:00,USA,Automotive,609.25,9,0.04,313.39,4.6,10000,0,5772.76
TXN-100006,2024-01-01 06:00:00,USA,Home & Kitchen,191.12,10,0.17,363.63,4.3,2500,1,2177.47
TXN-100007,2024-01-01 07:00:00,Canada,Automotive,576.56,13,0.05,143.46,2.9,10000,0,7452.55
TXN-100008,2024-01-01 08:00:00,Germany,Home & Kitchen,603.06,10,0.18,71.21,3.4,5000,0,5383.34
TXN-100009,2024-01-01 09:00:00,France,Automotive,481.45,4,0.08,317.27,3.9,10000,0,2277.9
TXN-100010,2024-01-01 10:00:00,USA,Home & Kitchen,769.52,10,0.07,762.57,2.7,2500,1,7899.32
TXN-100011,2024-01-01 11:00:00,Australia,Home & Kitchen,107.68,3,0.12,1086.53,2.8,5000,0,1022.53
TXN-100012,2024-01-01 12:00:00,Canada,Apparel,162.9,6,0.18,101.32,4.8,15000,0,1236.14
TXN-100013,2024-01-01 13:00:00,USA,Automotive,372.94,3,0.16,421.88,4.3,5000,0,1391.38
TXN-100014,2024-01-01 14:00:00,USA,Automotive,120.81,11,0.07,202.86,3.2,25000,0,1902.64
TXN-100015,2024-01-01 15:00:00,USA,Automotive,487.86,9,0.27,284.71,3.3,2500,0,3446.55
TXN-100016,2024-01-01 16:00:00,USA,Electronics,347.66,3,0.03,1404.84,3.5,25000,0,2280.4
TXN-100017,2024-01-01 17:00:00,UK,Home & Kitchen,252.64,2,0.01,266.99,2.7,10000,1,1195.65
TXN-100018,2024-01-01 18:00:00,UK,Automotive,156.94,8,0.18,277.34,4.3,15000,0,1547.43
TXN-100019,2024-01-01 19:00:00,USA,Books,295.01,6,0.04,,,2500,0,1925.88
TXN-100020,2024-01-01 20:00:00,Germany,Electronics,522.65,8,0.15,1659.67,4.5,15000,1,5059.77
TXN-100021,2024-01-01 21:00:00,USA,Apparel,495.78,13,0.29,354.85,4.6,2500,0,5028.86
TXN-100022,2024-01-01 22:00:00,USA,Automotive,151.63,7,0.21,472.44,4.1,25000,0,1713.78
TXN-100023,2024-01-01 23:00:00,UK,Automotive,119.31,3,0.19,351.81,4.4,10000,0,872.64
TXN-100024,2024-01-02 00:00:00,UK,Electronics,37.28,8,0.17,195.79,2.9,5000,0,537.96
TXN-100025,2024-01-02 01:00:00,France,Home & Kitchen,25.38,10,0.05,881.45,3.9,15000,0,1215.78
TXN-100026,2024-01-02 02:00:00,USA,Books,749.64,1,0.13,64.44,4.2,2500,0,963.71
TXN-100027,2024-01-02 03:00:00,UK,Apparel,52.65,1,0.1,635.98,,2500,0,518.88
TXN-100028,2024-01-02 04:00:00,Germany,Automotive,625.57,13,0.29,501.04,2.8,15000,0,6385.85
TXN-100029,2024-01-02 05:00:00,USA,Home & Kitchen,743.11,13,0.07,127.91,3.4,5000,0,9326.14
TXN-100030,2024-01-02 06:00:00,Germany,Books,96.88,10,0.14,140.7,3.3,10000,0,1202.98
TXN-100031,2024-01-02 07:00:00,USA,Books,379.31,13,0.28,588.27,3.9,2500,0,3886.16
TXN-100032,2024-01-02 08:00:00,USA,Apparel,818.52,8,0.24,237.08,4.4,2500,0,5354.95
TXN-100033,2024-01-02 09:00:00,Japan,Health & Beauty,711.51,13,0.29,204.44,,15000,0,7104.07
TXN-100034,2024-01-02 10:00:00,Australia,Books,423.9,9,0.18,80.49,4.4,15000,0,3716.99
TXN-100035,2024-01-02 11:00:00,Canada,Health & Beauty,651.75,10,0.1,777.25,2.7,2500,0,6390.28
TXN-100036,2024-01-02 12:00:00,USA,Books,710.87,6,0.25,1121.39,4.7,2500,0,4016.71
TXN-100037,2024-01-02 13:00:00,USA,Apparel,305.6,5,0.09,906.97,3.8,2500,0,2221.14
TXN-100038,2024-01-02 14:00:00,Germany,Electronics,759.95,2,0.05,363.71,2.6,25000,0,2327.14
TXN-100039,2024-01-02 15:00:00,UK,Apparel,407.85,11,0.21,431.74,4.1,2500,0,3944.94
TXN-100040,2024-01-02 16:00:00,USA,Apparel,455.72,9,0.19,188.72,3.8,10000,0,3811.98
TXN-100041,2024-01-02 17:00:00,UK,Electronics,849.76,6,0.26,144.89,3.1,10000,0,4187.04
TXN-100042,2024-01-02 18:00:00,USA,Electronics,719.16,8,0.29,915.81,4.4,5000,1,5066.42
TXN-100043,2024-01-02 19:00:00,Japan,Home & Kitchen,317.08,9,0.26,850.6,4.8,15000,0,2885.12
TXN-100044,2024-01-02 20:00:00,USA,Books,23.64,9,0.02,801.1,3.3,5000,0,901.85
TXN-100045,2024-01-02 21:00:00,Germany,Home & Kitchen,537.86,8,0.2,,,2500,0,3636.93
TXN-100046,2024-01-02 22:00:00,USA,Electronics,602.77,12,0.24,1049.42,2.8,15000,0,6394.13
